Name,Label,Type,Length,Code / Range,Frequency,Weighted
census_division,Census division classification for home address,C,2,01=New England,439,"6,122,146"
 ,, , ,02=Middle Atlantic,924,"16,325,722"
 ,, , ,03=East North Central,"1,293","19,004,161"
 ,, , ,04=West North Central,568,"8,673,040"
 ,, , ,05=South Atlantic,"1,582","25,891,576"
 ,, , ,06=East South Central,448,"7,652,682"
 ,, , ,07=West South Central,885,"15,305,365"
 ,, , ,08=Mountain,620,"9,693,398"
 ,, , ,09=Pacific,"1,134","18,876,617"
census_region,Census region classification for home address,C,2,01=Northeast,"1,363","22,447,868"
 ,, , ,02=Midwest,"1,861","27,677,201"
 ,, , ,03=South,"2,915","48,849,623"
 ,, , ,04=West,"1,754","28,570,014"
driver_count,Number of drivers in the household,N,8,0,302,"7,800,274"
 ,, , ,1,"2,724","43,826,953"
 ,, , ,2,"4,059","58,791,508"
 ,, , ,3,592,"12,637,056"
 ,, , ,4,180,"3,733,997"
 ,, , ,5,29,"592,109"
 ,, , ,6,5,"136,344"
 ,, , ,7,2,"26,465"
household_income,Household income,C,2,-7=I prefer not to answer,93,"1,604,477"
 ,, , ,-8=I don't know,3,"37,218"
 ,, , ,"01=Less than $10,000",300,"7,782,262"
 ,, , ,"02=$10,000 to $14,999",242,"5,623,924"
 ,, , ,"03=$15,000 to $24,999",467,"8,841,753"
 ,, , ,"04=$25,000 to $34,999",552,"10,423,621"
 ,, , ,"05=$35,000 to $49,999",824,"13,525,624"
 ,, , ,"06=$50,000 to $74,999","1,392","20,848,419"
 ,, , ,"07=$75,000 to $99,999","1,120","16,114,457"
 ,, , ,"08=$100,000 to $124,999",890,"11,832,535"
 ,, , ,"09=$125,000 to $149,999",611,"8,276,031"
 ,, , ,"10=$150,000 to $199,999",593,"9,940,279"
 ,, , ,"11=$200,000 or more",806,"12,694,108"
household_size,Total number of people in household,N,8,1,"2,271","36,069,643"
 ,, , ,2,"3,339","43,582,026"
 ,, , ,3,967,"19,667,394"
 ,, , ,4,786,"15,911,947"
 ,, , ,5,343,"7,979,860"
 ,, , ,6,123,"2,552,887"
 ,, , ,7,37,"1,108,191"
 ,, , ,8,19,"525,377"
 ,, , ,9,6,"113,741"
 ,, , ,10,2,"33,640"
home_type,Type of home,C,2,01=One-family detached,"5,430","82,254,239"
 ,, , ,"02=One-family attached (townhome, condo)",748,"12,022,432"
 ,, , ,03=Building with 2 or more apartments,"1,437","27,689,986"
 ,, , ,04=Mobile home,263,"5,270,519"
 ,, , ,"05=Boat, RV, van, etc.",15,"307,531"
house_id,Unique Identifier- Household,C,10,Responses=9000013002-9000218040,"7,893","127,544,707"
num_adults_hh,Count of adult household members at least 18 years old,N,8,1,"2,535","42,261,682"
 ,, , ,2,"4,427","65,078,024"
 ,, , ,3,670,"14,508,736"
 ,, , ,4,208,"4,486,983"
 ,, , ,5,38,"826,956"
 ,, , ,6,9,"259,183"
 ,, , ,7,5,"115,636"
 ,, , ,8,1,"7,507"
travel_date,Date of travel day (YYYYMM),C,6,202201,216,"4,057,637"
 ,, , ,202202,807,"9,784,210"
 ,, , ,202203,706,"10,832,627"
